gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CRYZ	0.159609075	0.106902401	0.023210345	0.028293538	0.083442609	0.002161062	0.058428759	-0.008411573	0.011912437	0.056866392	-0.039817149	0.039833898	0.057731626	0.001041565
CRYZL1	-0.027492019	-0.227079772	-0.069227699	-0.102272802	-0.064736182	-0.055386177	-0.041938284	-0.044970348	0.014271223	-0.060239239	-0.137293861	-0.096967084	0.014086694	-0.096675312
CS	-0.295448579	-0.136309176	0.108999179	-0.164816934	-0.203475652	-0.157472119	-0.179679328	-0.157546606	-0.028775266	-0.133323732	-0.091555856	-0.130972921	-0.193555402	-0.158637252
CSAD	-0.010314399	-0.08763188	-0.084434277	-0.134628939	-0.233367943	-0.034644639	-0.143803262	-0.085473067	-0.153379702	-0.154153606	-0.166008918	-0.020316478	-0.119932154	-0.068376011
CSDC2	-0.209666049	-0.079780456	-0.242845557	-0.283011266	-0.071885868	-0.058447721	-0.150255744	-0.022036081	-0.306070906	-0.1034488	0.02040644	-0.110263997	-0.172275915	-0.114125973
CSDE1	-0.225423143	-0.317653901	-0.115666317	-0.42318733	-0.204988423	-0.347000725	-0.049391888	-0.39431208	-0.142537142	-0.130398224	-0.182868176	-0.136379529	-0.526138956	-0.277421372
CSE1L	-1.092618303	-1.361992576	-1.087443643	-0.926702056	-0.904979372	-1.123047719	-1.21060152	-1.186151106	-1.04747647	-1.013557661	-0.910389211	-1.120233397	-1.129974479	-1.272548515
CSF1	-0.134352368	-0.19527976	-0.138030977	-0.11595146	-0.128163497	-0.321425483	0.02647738	-0.14585152	-0.212502822	-0.094098599	-0.161640665	-0.080335936	-0.254749141	-0.153723856
CSF1R	-0.02426723	-0.007113826	-0.091774354	-0.146777118	-0.086420651	-0.028780125	-0.035031246	-0.009419969	-0.115933103	-0.055913917	-0.105448127	-0.030909633	0.050482681	0.008650515
CSF2	0.054635263	0.048819288	0.0961196	-0.051671505	0.11946737	0.020461033	0.033101364	0.098760361	-0.048349677	0.08182306	-0.019639198	0.025599581	-0.026701059	0.018289647
CSF2RB	-0.370461771	-0.391763802	-0.424338681	-0.456871776	-0.506615617	-0.319645845	-0.390928792	-0.562414666	-0.993421671	-0.440915439	-0.570425981	-0.355721468	-1.089136994	-0.317412419
CSF3	-0.396858101	-0.131710164	-0.219854119	-0.180156457	-0.159534575	-0.264292637	-0.156274756	-0.170079903	-0.191644815	-0.134807516	-0.20128836	-0.098259377	-0.46411994	-0.17917061
CSF3R	0.019979913	0.00895681	-0.090648501	-0.006214385	-0.053880782	-0.030588752	-0.041931178	0.042740546	0.048712111	0.025960787	0.062748159	-0.157931738	-0.125287077	0.02015637
CSGALNACT1	-0.005190651	0.02827835	0.073826036	-0.025847401	-0.014143979	0.018669851	-0.032500806	-0.029129465	-0.040316821	0.045495	0.039468983	-0.012048652	0.045732433	-0.008780811
CSGALNACT2	0.070744682	0.034053662	0.109952281	0.091613007	0.079988874	0.075331813	0.073616487	0.131183243	0.160077047	0.129035495	0.124361226	0.111173183	0.133756344	0.121458349
CSH1	-0.444638474	-0.415763285	-0.467082499	-0.462456497	-0.508720447	-0.423477418	-0.45351811	-0.797659415	-0.435852836	-0.335887291	-0.461114382	-0.445515348	-0.429178244	-0.206430648
CSH2	0.148019611	0.11441155	0.147468347	0.146774473	0.129833119	0.111038229	0.07411206	0.082544424	0.168153007	0.166707018	0.211947058	0.093376275	0.161265877	0.229795232
CSHL1	0.072805044	-0.023009676	0.081563898	0.047928741	0.023698028	-0.021882998	-0.051659202	-0.154219865	0.032747782	0.139903402	0.113865771	0.088886818	0.004302712	-0.003504724
CSK	-0.472332603	-0.228927501	-0.272036329	-0.457514254	-0.066734042	-0.009346445	-0.07317888	-0.021146999	0.062053726	-0.154807626	-0.210373562	0.065953663	-0.182783089	-0.049017569
CSMD1	0.065055217	0.077127752	-0.132909225	-0.030753857	0.049261306	2.51E-05	-0.023141927	-0.051550613	-0.076399804	-0.03631839	0.256864109	0.107051995	-0.061189501	-0.067788656
CSMD2	-0.208448541	-0.251481997	-0.430205346	-0.323009848	-0.21754033	-0.163369417	-0.286199915	-0.342091845	-0.259443164	-0.27118253	-0.1063581	-0.20362033	-0.315628949	-0.284430227
CSMD3	0.040256989	0.000387402	0.24844644	0.050782979	0.104182851	0.119710523	0.065235277	0.085845763	0.044688088	0.038948126	0.102435091	0.029540379	0.018145089	0.124798162
CSN1S1	0.124488882	0.127098848	0.12996276	0.132949814	0.106359468	0.178865802	0.053855595	0.066804253	0.135046736	0.005238115	0.112905431	0.111365218	0.166582242	0.061714673
CSN2	-0.211796205	-0.074782187	-0.042680001	-0.084185964	-0.129877784	-0.010422943	-0.066588451	0.065707991	-0.051502058	-0.058548359	-0.048559142	-0.123337911	-0.037773843	-0.008675858
CSN3	0.117537322	0.082212934	0.169858686	0.143650253	0.138043507	0.15969806	0.121637925	0.077935349	0.141612014	0.148563807	0.208835984	0.175681187	0.151350729	0.134104409
CSNK1A1	-0.958452209	-0.819318287	-0.857691557	-0.678099349	-0.705938563	-0.981979991	-0.921000331	-0.720598641	-0.761149839	-0.571609117	-0.657846234	-0.49667802	-0.841177285	-0.476333344
CSNK1A1L	-0.157702086	-0.064446093	-0.055772281	0.071514824	-0.124704325	-0.088747133	-0.040130103	-0.128436733	0.137537731	-0.015988486	0.01008781	-0.052990288	0.006399813	-0.00621363
CSNK1D	-0.343158324	-0.35914634	-0.18783854	-0.448456545	-0.313643341	-0.34396009	-0.324020254	-0.201089018	-0.522091929	-0.226549544	-0.289533802	-0.236035322	-0.481864982	-0.31967765
CSNK1E	-0.171044133	-0.06260601	-0.127291892	-0.056824668	-0.08780672	-0.043630779	-0.182220496	-0.087435644	-0.145893005	-0.069696034	-0.19893294	-0.097514817	-0.133304193	-0.032936112
CSNK1G1	0.082970433	-0.05271491	0.034882492	-0.042726668	-0.032590999	0.041086013	0.096930637	0.10812502	0.106250302	0.063293744	-0.083828965	-0.079559602	-0.015324216	0.061793994
CSNK1G2	0.050723461	-0.13152242	-0.014779489	0.065169571	0.083397665	0.082312967	0.102547993	0.098478826	-0.07139353	-0.044930765	-0.044584579	0.132135699	-0.061581422	0.045634811
CSNK1G3	0.078215069	0.075591191	0.141452971	0.234911936	0.125137862	0.212620544	0.153053707	0.062994921	0.08867515	0.137878559	0.000825559	0.118379977	0.051664145	0.188256513
CSNK2A1	0.034029198	0.027127634	0.067726121	-0.105844209	-0.038857995	0.025453072	-0.129650636	-0.104769207	-0.025791238	-0.011921035	0.089481748	0.251335719	0.037667777	0.013547004
CSNK2A2	0.178834415	0.114000146	0.212168798	0.152527336	0.230280408	0.219514061	0.183533849	0.144748187	0.124560402	0.165494849	0.187009416	0.208151624	0.128062745	0.18267014
CSNK2A3	0.058964094	0.031268178	0.100578038	0.033675461	-0.02640672	0.038139558	-0.081260105	0.046637414	-0.046973296	0.015397298	0.043071303	0.074469649	0.070435067	0.026761849
CSNK2B	-0.795655598	-0.956381989	-0.875687926	-1.220465161	-1.000902056	-0.731196702	-0.998124896	-0.970881849	-0.855290607	-1.053744314	-0.941006478	-0.794558343	-0.779281006	-0.993714376
CSPG4	-0.136835221	-0.193887795	-0.182805974	-0.378106023	-0.260945803	-0.203762241	-0.26186651	-0.247493216	-0.346878763	-0.338096541	-0.144002774	-0.357590886	-0.463851911	-0.111310165
CSPG5	-0.166211633	-0.079884724	-0.270434427	0.013274493	-0.123657996	-0.17480927	-0.065507374	-0.1172346	0.048072923	-0.095047037	-0.056847604	-0.134180021	-0.209782197	-0.068474193
CSPP1	-0.106072333	-0.120311561	-0.058147827	-0.262188721	-0.228676644	-0.403874397	-0.180712186	-0.138532222	-0.166201167	-0.14229931	-0.050280983	0.043454638	-0.170178514	-0.33638456
CSRNP1	-0.334570096	-0.436563369	-0.643601475	-0.327764249	-0.312470362	-0.294751291	-0.447119278	-0.317211273	-0.593010333	-0.327353521	-0.620928547	-0.341419954	-0.436708459	-0.464004147
CSRNP2	0.055602997	0.006795828	0.091109215	0.023198543	0.06705948	0.072775198	-0.005510703	0.076842144	0.067134409	0.077055305	0.036928148	0.011414224	-0.008538078	-0.008113258
CSRNP3	-0.043474854	-0.033662771	-0.013911682	-0.013928861	-0.007479391	0.015468238	0.041924075	0.02908362	-0.0386458	-0.011993357	0.09794122	-0.019116768	-0.015211057	0.008289058
CSRP1	0.037215626	-0.09343029	-0.092162744	-0.029206876	0.00660394	-0.001343253	0.098759578	0.056589176	-0.009217252	-0.008879046	-0.020519716	-0.018857305	-0.027305024	-0.024206804
CSRP2	0.060134175	0.015007734	0.096053297	0.03354957	-0.008274981	0.037435388	0.127394685	0.00845931	0.087491231	0.044221401	0.122965268	-0.012249953	0.10453276	0.090542868
CSRP2BP	-0.1346336	-0.13443349	-0.158860936	-0.253054443	-0.238612342	-0.05864249	-0.280925075	-0.251503349	-0.206934056	-0.295771797	-0.320756811	-0.209633328	-0.282478305	-0.320482233
CSRP3	0.08450056	0.109899533	0.176424202	0.033787691	0.240528735	0.131034392	0.157106772	0.137057261	0.076038021	0.090695926	0.194618741	0.131663182	0.104072884	0.03201596
CST1	-0.024542555	-0.150397293	-0.067977395	-0.112056252	-0.046485155	-0.074281883	-0.128450991	-0.080126206	-0.089111688	-0.077072173	0.115920428	-0.128714884	0.002953175	-0.108957609
CST11	0.020185542	-0.012547445	-0.063409459	-0.030439584	-0.05370731	-0.023354426	-0.079232548	-0.010145735	-0.064746807	-0.073559774	0.023609406	-0.048255975	-0.125824289	-0.04363712
CST2	0.136980989	0.089356918	0.10143706	0.002920238	0.185330434	0.064893878	0.143768464	0.037431505	-0.039392595	0.186389443	0.178889043	0.099324907	0.00221059	0.2309624
CST3	0.100136365	-0.006888704	-0.079504073	-0.107258264	0.172631115	-0.091760269	0.025228056	-0.012450775	-0.113107614	0.043845676	0.060404379	0.044520019	-0.036577346	-0.026479865
CST4	-0.064906845	-0.054764243	-0.010403178	-0.033773141	-0.071163683	0.033477716	-0.000827295	-0.028098912	0.049257838	-0.02540736	0.037809071	-0.069941825	0.100335295	-0.072077188
CST5	0.054888545	0.149883783	0.070550268	0.001893099	0.101896983	0.101913861	0.093590783	0.085736657	0.082626382	0.116228779	0.189716053	0.032279107	0.132878982	0.104933434
CST6	-0.012943109	-0.102762143	0.027752189	-0.014693425	0.004448976	-0.045944146	0.0656639	-0.077885884	-0.002308656	0.060249847	-0.021821679	-0.032683482	0.012488924	0.127896609
CST7	0.056843743	0.091458466	0.092123667	0.158153287	0.100542263	0.145115551	0.12430809	0.114171262	0.153353337	0.158424379	0.16213001	0.164686882	0.123176891	0.161729902
CST8	-0.171605473	-0.055213528	0.01521692	-0.056785441	-0.126027598	-0.01428997	-0.11386633	-0.056543936	-0.183368496	-0.07549158	0.038928535	-0.122948205	-0.032108779	-0.024073707
CST9	0.009101258	0.051389766	-0.016134874	-0.113518208	-0.052124381	0.005192338	-0.026329215	0.018844371	-0.042202495	-0.056970058	0.001489471	-0.034320759	-0.017811545	0.030040038
CST9L	0.08130399	0.025788197	0.007810387	0.013502219	0.103415788	0.021690293	-0.008967356	-0.02887574	-0.034597561	0.058127964	0.055828238	0.020285817	0.029059008	0.021576473
CSTA	0.150800761	0.047519689	0.153258172	0.012087547	0.105190149	0.100758911	0.123721423	0.141012625	0.173708826	-0.012738793	0.091390337	0.139777218	0.130868035	0.075429724
CSTB	-0.053024276	-0.014735936	0.013427808	0.007743595	0.063408144	-0.033327748	-0.059013909	-0.092189341	-0.02047668	0.019098462	0.010160844	-0.022575454	0.020180555	-0.064034926
CSTF1	-0.877949634	-0.822601938	-1.33575281	-1.10250806	-0.928474337	-1.007574595	-1.055320966	-0.934759793	-0.897240135	-0.968737757	-0.799110996	-0.916278109	-0.916283518	-1.120166217
CSTF2T	-0.064930387	0.095630576	0.021482039	-0.16506817	-0.330246132	-0.079918605	0.119436735	-0.166826287	-0.149581968	0.111149782	0.085276436	0.066744198	0.008917327	0.076228241
CSTF3	-0.667964704	-0.823617726	-0.797902777	-0.840998962	-0.805345874	-0.639493964	-0.733585379	-0.757389215	-0.801601403	-0.75560192	-0.76393296	-0.689863075	-0.853500373	-0.826869202
CSTL1	0.019689292	-0.008993693	0.025564863	-0.01603027	0.106807055	0.083342791	0.12456635	0.106302989	0.069736305	0.132503815	0.202334974	0.09804373	0.129497217	0.056489717
CT62	0.028360877	0.033734002	0.051165194	-0.017441492	0.060659904	-0.047209377	0.019219258	0.044930296	-0.092784267	0.066216463	0.072546026	0.066599166	-0.002947045	-0.015068366
CTAGE1	-0.033866813	-0.00639968	-0.088239593	0.079616584	-0.095603617	-0.011987683	-0.190123875	0.057102525	-0.002363534	-0.191431637	-0.113312194	-0.101650627	-0.002852608	-0.078979994
CTAGE15	-0.296353203	-0.110845107	-0.173869407	-0.198082487	-0.327235803	-0.176793829	-0.113736036	0.02589316	-0.267828359	-0.337050078	-0.162091801	-0.292593255	-0.362054351	-0.100550195
CTAGE4	0.505358436	0.444620242	0.48167367	0.572286193	0.495244743	0.497294998	0.391809589	0.503327115	0.327081423	0.413201891	0.543693019	0.410792	0.503005271	0.411775937
CTAGE5	0.067589794	0.055515313	0.057183375	-0.00424334	0.002262353	-0.056952511	-0.011087117	-0.159183912	0.076298457	0.028237759	0.012603714	0.026419222	-0.034060533	-0.165000969
CTAGE6	-0.182132705	-0.020527727	-0.103572278	-0.070228548	-0.223594183	-0.131463016	-0.004510081	0.089244131	-0.147827946	-0.243315326	-0.061795219	-0.158336418	-0.246501417	-0.021856877
CTAGE8	-0.955598864	-0.619891327	-0.727014951	-0.754037758	-0.996078196	-0.898622712	-0.860823361	-0.719846441	-0.940405241	-0.962460073	-0.9566703	-0.739750015	-0.977408802	-0.517876307
CTAGE9	-0.946330668	-0.684270301	-0.792551904	-0.847901558	-0.808552243	-0.676027439	-0.875073524	-0.674132768	-0.682450027	-0.956025367	-0.742514316	-0.777798946	-0.864358132	-0.605822112
CTBP1	-0.120724387	0.128155377	-0.046323144	-0.923186427	-0.299972043	0.01016983	-0.2188158	0.001183527	-0.154046813	-0.461247035	-0.114743999	-0.118710808	-0.019129902	-0.2993974
CTBP2	-0.082519618	-0.009913551	-0.135943721	-0.113447497	-0.044918899	-0.105163406	-0.122024471	0.024350609	-0.156813569	-0.181388232	-0.009626963	-0.017070931	-0.144342011	-0.050497605
CTBS	0.000883442	-0.007348984	0.039040821	0.084065182	0.018325933	-0.012264868	-0.015406931	0.059977347	-0.049338226	0.036074869	-0.124296415	-0.092506245	0.121259635	0.074660414
CTC1	-0.939325692	-1.030281518	-1.016527702	-0.957336028	-0.825761408	-1.04129532	-0.935674414	-0.87735584	-1.077658376	-1.048334884	-0.924234587	-1.050396623	-0.9233983	-1.08252275
CTCF	-0.603695171	-0.689520867	-0.800141371	-0.797477304	-0.595809434	-1.017241054	-0.996553514	-0.744594766	-0.747882653	-0.781759853	-0.587533299	-0.830071454	-0.703081559	-0.949778896
CTCFL	-0.032436575	-0.042386694	-0.045342581	-0.016582236	5.07E-05	-0.081326922	-0.046181768	0.051741675	0.0156833	-0.095352615	-0.027862079	-0.113154097	0.018271922	-0.033602347
CTDNEP1	-0.524092626	-0.507761499	-0.584586644	-0.774521365	-0.421013166	-0.43852928	-0.396135029	-0.416566079	-0.341345139	-0.153287132	-0.326331946	-0.384104277	-0.428096793	-0.723197888
CTDP1	-0.426976266	-0.671191592	-0.654113311	-0.655282307	-0.442867678	-0.682602732	-0.585666329	-0.518057777	-0.615670954	-0.99540353	-0.40058949	-0.418943486	-0.425447917	-0.604433726
CTDSP1	-0.522489196	-0.117320225	-0.086173354	-0.292489586	-0.505801226	-0.119954297	-0.278434824	-0.524921774	-0.570506379	-0.346410234	-0.443539598	-0.423974187	-0.284827493	-0.391680991
CTDSP2	-0.308127247	-0.261691967	-0.227067397	-0.160800353	-0.202507584	-0.103244159	-0.206219967	-0.197494184	-0.284037296	-0.249552288	-0.096941361	-0.200662633	-0.133186291	-0.120627218
CTDSPL	0.032897485	-0.057234672	-0.044888363	-0.008399024	-0.009930249	-0.004136015	-0.047563879	-0.14126747	-0.032678494	-0.101415332	-0.054571011	-0.06247581	-0.075362319	-0.054204987
CTDSPL2	-0.777248366	-0.473957345	-0.993216992	-0.801910894	-0.641398691	-0.709852538	-0.6981466	-0.786865606	-0.546959769	-0.377815667	-0.986358803	-0.469516007	-0.385615867	-0.655783512
CTF1	-0.083173555	-0.142942838	-0.123005898	-0.148694115	-0.264359848	-0.106063548	-0.137890972	-0.158855113	-0.095790166	-0.043560939	-0.046599307	-0.108907694	-0.086556015	-0.002963341
CTGF	0.053004081	-0.106030392	0.036376695	-0.028928449	0.020541417	0.158260037	0.048599578	0.110813993	0.115086789	0.025162779	0.036194605	-0.03217798	-0.070689522	-0.023014025
CTH	0.052529778	-0.03267616	-0.022453219	-0.034841786	-0.038882107	-0.102605398	0.002088767	-0.052462342	-0.024358334	0.008496304	-0.078012279	0.027265522	-0.195767188	0.039838482
CTHRC1	0.181965237	0.184517853	0.164395724	0.153533303	0.258663168	0.108856644	0.258885689	0.128881722	0.197748369	0.208058062	0.219683809	0.170702523	0.074700029	0.117774021
CTIF	-0.134892431	-0.046073398	-0.103797079	-0.038782303	-0.159250212	-0.077207922	-0.033110897	-0.083448363	-0.14084071	-0.063684837	-0.059999098	-0.103876507	-0.072481959	-0.074547366
CTLA4	0.131064824	0.099011623	0.060332894	0.089880155	0.168907356	0.044319324	0.122604801	0.115853443	-0.051018405	0.140127722	-0.02041189	0.158587384	0.142903259	0.026585812
CTNNA1	-0.082974478	-0.20714609	-0.170269577	-0.221792061	-0.14653455	-0.162276644	-0.100355221	-0.228616655	-0.107282674	-0.13629064	-0.014742621	-0.075212883	-0.318004812	-0.144006483
CTNNA2	-0.142461796	-0.135770877	0.008169442	-0.035716314	0.140913987	-0.087628725	0.080771251	-0.08474291	-0.060626444	0.014380005	-0.086553723	-0.016655313	0.104106417	0.058047538
CTNNA3	0.168068483	0.077441318	0.081990011	0.068494176	0.031069619	0.070510341	0.096605908	0.020190552	0.19046837	0.104066079	0.181454984	0.057438886	-0.031191243	0.065242001
CTNNAL1	-0.033808503	-0.005884651	-0.217321993	-0.110497746	-0.053213013	-0.196225351	-0.063450135	0.081695505	-0.045958731	-0.058181962	-0.017929247	-0.024072136	-0.197170362	0.027689184
CTNNB1	-0.098221899	0.013163682	-0.06955281	-0.042350426	0.002798083	-0.07088058	0.096722109	-0.008620955	-0.042876938	0.025371631	0.02895214	-0.021296953	-0.091974213	-0.013206432
CTNNBIP1	-0.068685679	-0.103236851	-0.084100824	-0.003345025	-0.077554852	-0.065915461	-0.000151525	0.006042423	-0.067503178	-0.047732027	-0.174024947	-0.061819444	-0.095267846	0.022345664
CTNNBL1	-0.575273882	-0.486398341	-0.574377912	-0.589143674	-0.552576784	-0.470282896	-0.51991318	-0.423867387	-0.367480067	-0.635087821	-0.479549508	-0.544948301	-0.473350345	-0.540362952
CTNND1	-0.099100397	-0.091633479	-0.060530684	-0.077582751	-0.045111418	0.008851632	-0.03410391	-0.026229155	-0.064786287	-0.077939969	-0.057428005	0.033677686	-0.083166101	-0.012334641
CTNND2	-0.039346451	-0.298235322	-0.119246794	-0.239263776	-0.214040995	-0.004193073	0.034107016	-0.234945975	-0.060384493	-0.209171935	0.118006603	-0.053387349	-0.045293287	0.043078796
CTNS	-0.042428022	-0.086804983	-0.072549803	-0.054136575	-0.047994673	-0.041268895	-0.034496265	-0.037987316	-0.04098872	-0.023567977	-0.060154551	-0.043703745	-0.128774218	-0.051171705
CTPS1	-1.406475769	-1.599524349	-1.542844221	-1.304378003	-1.359212681	-1.383832868	-1.428850676	-1.189928618	-1.566185059	-1.405543193	-1.342313488	-1.291130911	-1.385195956	-0.495467275
CTR9	-0.955905057	-0.89420641	-0.817262063	-0.775761166	-0.809526616	-0.863603467	-0.90001285	-0.792028979	-0.846452992	-0.749466613	-0.736091249	-0.85811505	-1.163250802	-0.799187519
CTRB1	-0.039667071	-0.054464815	-0.134368099	-0.107838976	-0.136369146	-0.061547201	-0.236442676	-0.097245317	-0.167104279	-0.029575386	-0.093902356	-0.091502891	-0.076164232	0.011894031
CTRB2	-0.064019467	-0.252608115	-0.160972156	-0.234541198	-0.195015729	-0.175235569	-0.267655699	-0.245823972	-0.231343107	-0.190137838	-0.272544725	-0.273964652	-0.105364263	-0.131376486
CTRC	-0.021436183	-0.01738209	-0.066937787	-0.107516799	-0.087759091	-0.04178765	-0.083471228	-0.105065883	-0.060344245	-0.078955746	-0.095388986	-0.120761849	-0.1178305	-0.108845112
CTRL	0.026756904	-0.136682237	0.01856364	-0.04955192	0.083705246	-0.014821579	-0.035190852	-0.087765627	0.067296667	0.017703807	-0.015640949	-0.04232901	0.012572587	0.000554212
CTSA	-0.122648051	-0.185102512	-0.148544976	-0.086848079	-0.167925521	-0.080489815	-0.127375163	-0.138129035	-0.012384081	-0.100049369	-0.090894567	-0.144386054	-0.129911854	-0.036467892
CTSB	-0.099142818	-0.069173354	-0.10376669	-0.197216192	-0.115719476	-0.082618069	-0.086152215	-0.123200677	-0.123413469	-0.117772045	-0.109762482	-0.158892338	-0.255873152	-0.079020071
CTSC	-0.076740505	-0.11451215	-0.15357094	-0.168030916	-0.146508228	-0.177546985	-0.142558439	-0.155946528	-0.114574473	-0.104379667	-0.118877533	-0.063725492	-0.022592966	-0.105471179
CTSD	-0.05923943	-0.078383821	-0.138003486	0.034500959	-0.027323402	-0.045488923	-0.065543041	-0.10740149	-0.097008614	-0.114010045	-0.005762059	-0.065567582	-0.093456668	-0.118195014
CTSE	-0.116771873	0.054862547	0.112665949	0.006816385	-0.212209663	0.032993686	-0.098611403	-0.113043503	-0.040793687	-0.023091388	-0.116693281	-0.108981251	-0.153746058	-0.072013325
CTSF	-0.16327921	-0.0533298	0.069788952	-0.184129609	-0.044620868	-0.102150904	-0.202415013	-0.303306904	-0.298090923	-0.155990622	-0.000452288	-0.205150167	-0.219236878	-0.077029224
CTSG	-0.261079288	-0.123863525	-0.084343024	-0.196109631	-0.310790578	-0.283380345	-0.278411718	-0.258685281	-0.2426153	-0.112492137	-0.207414138	-0.113270829	-0.2005862	-0.07589708
CTSH	0.093003956	0.003278135	0.016701402	-0.11032732	-0.038292263	0.016049074	0.038628168	-0.018033514	0.099278012	0.026900196	0.039628309	0.013313452	-0.034825193	0.049800188
CTSK	0.082239527	-0.016777033	0.012615204	-0.027316671	-0.0375833	-0.037575334	-0.028854999	0.024143753	-0.080866103	-0.001908651	0.034568281	0.030789705	-0.105753547	-0.027700394
CTSL	0.146957087	0.028928698	-0.04586365	0.14976669	-0.048772066	0.135430547	0.106301617	0.04486101	0.190218041	0.120239535	0.117725666	0.083688067	0.114060288	-0.006093257
CTSO	-0.045970496	-0.032021033	-0.073872642	0.12472843	0.033043472	0.022538553	-0.008247725	0.044948977	0.058853619	0.041369169	-0.079877519	0.062294624	-0.110659072	0.029430301
CTSS	-0.091854411	-0.028948606	0.015134089	-0.022039772	-0.026861707	-0.058099875	0.013314632	-0.019212238	-0.021953317	-0.018664465	0.100771612	0.041445123	0.088776068	-0.038525525
CTSV	0.079801493	0.028792799	0.114686976	0.145439319	0.066765639	0.120085783	0.185894377	0.140880728	0.126479742	0.164182093	0.121660746	0.141573615	0.051031484	0.056966616
CTSW	0.012540553	-0.041963302	0.045426294	0.02354874	-0.07792291	-0.062134013	-0.068156252	0.028129776	-0.075285671	-0.034051561	-0.113672491	0.001508996	0.018662106	-0.002462804
CTSZ	0.124363935	0.090325762	0.091315185	0.059766258	0.127588277	0.030762818	0.06793023	0.05989878	0.028420437	0.04897177	-0.029638867	0.125396824	0.086952607	0.037153325
CTTN	-0.490312208	-0.384879943	-0.434258338	-0.255139307	-0.501540244	-0.316766052	-0.467856762	-0.421803212	-0.398004374	-0.433596336	-0.258660621	-0.349688827	-0.460817148	-0.234182062
CTTNBP2	-0.04928308	-0.035603743	0.019046854	0.058208648	0.045033405	0.126276798	0.081647345	0.016654588	0.125731574	0.013278436	0.004061225	0.025833748	-0.030053146	-0.129415693
CTTNBP2NL	-0.063440445	-0.018318017	-0.019765629	-0.006454357	-0.05410298	0.023412986	-0.02649499	-0.006185633	-0.257394971	-0.139775745	-0.179687294	0.006133442	-0.063337051	-0.124989506
CTU1	-0.461638414	-0.360043372	-0.434051602	-0.584819528	-0.507489613	-0.442567441	-0.494233595	-0.632024036	-0.484187365	-0.622075843	-0.549397763	-0.384547983	-0.246179795	-0.78277381
CTU2	-1.338308529	-1.139921254	-1.202967204	-1.177239682	-1.491088939	-1.183762591	-0.997510302	-1.041670332	-0.85363569	-1.594119037	-1.241520731	-1.228822157	-1.121509356	-0.833824753
CTXN1	-0.044295268	-0.3225788	-0.374721453	-0.019552548	-0.26793681	-0.301583261	-0.22944597	-0.136496579	-0.403459135	-0.09337475	-0.149487696	-0.116517446	-0.2714611	-0.113224091
CTXN2	0.162366715	0.225169151	0.192734311	0.262550288	0.303938674	0.171021138	0.245504053	0.190640798	0.190010828	0.220280247	0.313525655	0.177878395	0.277504048	0.119798071
CTXN3	0.127930521	0.131773117	0.155424994	0.069901403	0.155708409	0.076879524	0.144839546	0.145743632	0.04299665	0.108669159	0.24988423	0.111026762	0.12916188	0.042996774
CUBN	0.063026607	-0.049607547	-0.010737889	0.0979267	-0.057744989	0.041178262	-0.088333874	0.010419258	0.004143471	0.055628575	0.071120775	0.014945075	-0.061922556	-0.059457738
CUEDC1	-0.040511981	-0.155494346	-0.189893734	-0.022985267	0.029636304	-0.221038015	-0.043524407	-0.053040932	-0.205594772	-0.204151597	0.193459221	0.029801297	0.028975163	-0.147284866
CUEDC2	-0.23540896	-0.269410309	-0.146187383	-0.123538581	-0.085984348	-0.260369246	-0.059386554	-0.113316169	-0.280457983	-0.043101679	-0.361673534	-0.104121392	-0.091767438	-0.167584787
CUL1	-0.78258508	-1.089131196	-0.918911793	-0.874496213	-0.835306071	-0.554957412	-0.946944579	-0.817027155	-1.072599884	-1.092207527	-0.899579765	-0.70684818	-1.334674956	-0.825539062
CUL2	-0.569772225	-0.488530791	-0.620542104	-0.564928915	-0.673672353	-0.609823599	-0.782767142	-0.630680513	-0.694845721	-0.599028197	-0.644229366	-0.711981104	-0.452454814	-0.90210483
CUL3	-0.691642338	-0.466479591	-0.612406582	-0.849270074	-0.699210269	-0.720132583	-0.667915206	-0.540708511	-0.335721893	-0.816531561	-0.840233196	-0.587020665	-0.783213063	-0.760150595
CUL4A	-0.217211866	-0.30546196	-0.049575203	-0.201510557	-0.141301283	-0.063897961	-0.140434503	0.060719769	0.021314341	-0.028532698	-0.180722093	-0.027671101	-0.209417317	-0.267921319
