gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IFNA1	-0.110092428	-0.040708842	-0.137006869	-0.178764133	-0.363541542	-0.032058009	-0.250985956	-0.285649112	-0.101886814	-0.230090316	-0.229937769	-0.166730274	-0.101956302	-0.133868204
IFNA10	-0.094751523	-0.06450915	-0.105885914	-0.016338025	-0.0428263	-0.016388738	-0.085405541	-0.145364985	-0.064519125	-0.047334703	-0.127251169	-0.192016701	0.004593662	-0.031508263
IFNA13	-0.204057768	-0.119946794	-0.215885112	-0.266690914	-0.432475579	-0.114108278	-0.333647429	-0.403254105	-0.222459669	-0.311740306	-0.367007296	-0.283098703	-0.198545191	-0.228199983
IFNA14	-0.455845933	-0.082812361	-0.27517338	-0.08827044	-0.297566509	-0.335009766	-0.184283785	-0.020650122	-0.270173767	-0.238866467	-0.204008794	-0.204835688	-0.089532698	0.022406067
IFNA16	-0.167726577	-0.037149565	0.003771254	0.017678478	-0.05557842	-0.025795948	-0.041546811	-0.02859478	0.019478328	-0.108651373	-0.118946392	-0.047594787	-0.00399354	-0.041623087
IFNA17	-0.272189364	-0.188091767	-0.20105659	-0.250048055	-0.327109184	-0.21509772	-0.186825292	-0.306401492	-0.226186193	-0.176915151	-0.239713373	-0.204503511	-0.266304965	-0.11023708
IFNA2	-0.13617301	-0.161320939	-0.104596005	-0.125987326	-0.270116866	0.061244062	-0.0301686	-0.040966979	-0.131535217	-0.069053248	-0.025498348	-0.05076038	-0.077434327	-0.065112698
IFNA21	0.098295777	0.063053816	0.104018263	0.094597089	0.095326659	0.110919475	0.053257759	0.072988322	0.083715746	-0.016582455	-0.049197487	0.060093828	0.11828032	0.061103734
IFNA4	-0.276949797	-0.221215445	-0.230557594	-0.239995103	-0.224811636	-0.182388206	-0.285737185	-0.321229234	-0.2183471	-0.226000593	-0.415135274	-0.35315153	-0.172334086	-0.154302187
IFNA5	0.001399298	-0.19607106	0.048025149	0.043365195	0.03379844	0.081124842	-0.054317301	0.008578797	0.069877078	-0.040142532	-0.243042559	0.022376581	0.002961915	0.006801216
