gene	A375_SKIN	A673_BONE	BXPC3_PANCREAS	CADOES1_BONE	CAL120_BREAST	COLO741_SKIN	CORL105_LUNG	EW8_BONE	EWS502_BONE	G402_SOFT_TISSUE	HCC44_LUNG	HS294T_SKIN	HT29_LARGE_INTESTINE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L33_PANCREAS	LNCAPCLONEFGC_PROSTATE	MEWO_SKIN	MHHES1_BONE	NCIH1373_LUNG	NCIH2009_LUNG	PANC0327_PANCREAS	PANC0813_PANCREAS	PANC1_PANCREAS	PATU8902_PANCREAS	PATU8988T_PANCREAS	PC3_PROSTATE	RDES_BONE	SKES1_BONE	SU8686_PANCREAS	T47D_BREAST	TC32_BONE	TC71_BONE	TOV112D_OVARY
TEX37	-0.030629454	-0.015724268	-0.017503955	0.051800197	-0.217422924	-0.011863063	0.056388258	-0.00373072	0.019720749	-0.202827658	-0.137019556	-0.025608347	-0.045995708	-0.164422488	-0.060586708	0.121394686	0.117733945	0.01326052	0.185476913	0.063345626	0.072782352	0.092287897	-0.043978467	-0.060695091	-0.066357029	-0.065458726	0.017514494	0.00817557	0.097497743	0.060213585	0.083364533	0.067675772	-0.121313098
TEX38	-0.096841703	-0.10238687	0.058467622	-0.14119663	-0.336847722	-0.103892951	-0.109516559	0.083902216	-0.057069635	-0.059017371	-0.243528984	-0.069135475	-0.019918245	0.021811728	-0.359378962	-0.043324297	-0.17646214	-0.156000454	-0.247918987	-0.162215274	-0.086054983	-0.118904339	-0.107086196	-0.104518073	-0.06735921	-0.134541665	0.010560729	-0.046207852	-0.087962224	-0.059619141	-0.102510491	-0.089262664	-0.014547779
TEX43	-0.027004139	0.044197596	-0.069878226	0.10168985	-0.081924172	0.121702613	-0.015726903	0.044081153	-0.081951961	0.024042888	-0.056017671	-0.23254645	-0.012433548	-0.010660806	-0.091560197	0.031770686	-0.033064881	-0.202289913	-0.283031977	-0.174037574	-0.051649284	-0.165587868	-0.121464567	-0.217599748	0.069961606	-0.032930819	-0.028893394	0.04484316	-0.125789648	0.121406068	0.073651244	0.061957551	0.045018297
TEX9	0.013997002	0.031077204	0.078943234	0.030612581	0.02346348	0.037752292	0.048777313	0.046802607	-0.051390135	0.083899816	-0.040517574	0.001671189	0.007592457	-0.066307631	0.110528595	0.06532724	0.102164621	-0.111887778	0.173078504	-0.175907828	-0.035227038	-0.03548355	0.162274951	0.008258766	-0.181764238	0.307704522	-0.012765419	0.004726416	0.060944478	0.103236894	-0.055342201	0.051072081	0.116589416
TF	0.102565171	0.049557069	0.00041869	0.04098669	0.136049125	0.147915878	0.013696531	0.089653841	0.023945901	0.226346704	-0.107402357	-0.026203796	0.002980685	0.137601426	-0.004772769	0.166809691	0.095786271	0.076615255	-0.036293569	-0.023376617	0.00263465	-0.014907024	-0.09331447	0.132341449	0.044456041	0.185752886	0.016895456	-0.00685172	0.023877813	0.068644338	0.031833623	0.012786457	-0.01967372
TFAM	-1.06780407	-0.771717027	-1.012862481	-0.745393147	-0.750459237	-0.801528948	-1.000216655	-0.906785908	-0.76345672	-0.890064715	-0.731554232	-1.024970823	-0.668262867	-0.674152171	-0.990688382	-1.057678586	-0.748874529	-0.708812552	-0.954666482	-0.985698119	-0.63982671	-0.742519533	-0.646896121	-0.692574312	-0.750127318	-1.233186871	-0.298243969	-0.808944843	-0.662741616	-0.78346222	-0.807102409	-0.981529408	-1.012443082
TFAP2A	0.007695123	0.105576315	0.135224118	0.194381633	-0.155836417	-0.179311092	0.063132378	0.222273072	0.028270085	0.173768388	-0.005345188	0.050272721	0.119501966	0.125717404	-0.349643309	0.145960287	-0.67392435	0.024799899	0.248735413	0.12221078	0.18684728	0.301206418	0.121050329	0.042041443	0.068195429	0.033610711	0.152659748	0.121600354	0.071827732	-0.076888972	-0.127305212	0.06446756	-0.093606044
TFAP2B	-0.278781882	-0.298087148	-0.290259462	-0.405845197	-0.303823285	-0.291017185	-0.268550981	-0.344022352	-0.263834585	-0.336164924	-0.3292677	-0.258587937	-0.421922461	-0.493077079	-0.378891745	-0.46682707	-0.384156287	-0.298517046	-0.419410521	-0.163187246	-0.21288937	-0.319743682	-0.261691567	-0.362257505	-0.251132131	-0.480488261	-0.315537982	-0.42904111	-0.212415252	-0.306862982	-0.375515747	-0.347053456	-0.417561579
TFAP2C	-0.265045107	-0.152732828	-0.02385525	-0.066893985	-0.026039469	-0.127259863	-0.053478042	0.182283127	0.137956086	-0.115735718	-0.228067529	-0.4577913	0.000473992	-0.023214132	-0.277457037	-0.901377069	-0.038046999	0.026755826	0.140112367	-0.037102601	-0.070888171	0.019699237	0.097409813	0.259821107	-0.024709583	-0.714307381	0.066076424	-0.142592404	0.078686415	-0.890424714	-0.05359164	-0.03839241	-0.07610005
TFAP2D	-0.099317334	-0.198731637	-0.041603411	-0.073089075	0.026891384	-0.103191057	-0.058819948	-0.22634818	-0.095159179	0.129117625	-0.088614162	-0.182909106	-0.111798172	-0.119406655	-0.240175211	-0.155797867	-0.274703764	-0.160368842	-0.395448178	-0.194126238	-0.098026073	-0.234246096	-0.036031087	-0.19751677	-0.136600034	-0.159519135	-0.179878298	-0.108966026	-0.189362483	-0.08257916	-0.06408573	-0.104261215	-0.1554922
TFAP2E	-0.322971226	-0.461787613	-0.446022183	-0.497047445	-0.440930714	-0.210858722	-0.169947066	-0.362538118	-0.364188719	-0.30486661	-0.54365343	-0.088057123	-0.306984571	-0.473704082	-0.279549233	-0.567512461	-0.255010683	-0.459642599	-0.684294032	-0.326275285	-0.352294556	-0.345620791	-0.583646804	-0.328796132	-0.310756131	-0.731310596	-0.587596583	-0.321126283	-0.213332484	-0.425174574	-0.510500776	-0.573458587	-0.462207564
TFAP4	-0.310313872	-0.114547547	-0.389596178	-0.223295467	-0.088344857	-0.049180246	-0.384736057	-0.195479402	-0.235525137	-0.409907426	-0.090486498	-0.53617236	-0.134547413	-0.669407729	-0.284674364	-0.392515786	-0.018795092	-0.344009749	-0.390479652	-0.027037006	-0.452809723	-0.322684427	-0.140188716	-0.218859184	-0.669535596	-0.221112869	0.243257455	-0.158772014	-0.152610551	-0.319541434	-0.208976918	-0.388946258	-0.19016506
TFB1M	-0.592082881	-0.080364072	-0.214488102	-0.122523709	-0.026518138	-0.030320408	-0.336615947	-0.245539971	-0.35550102	-0.064042143	-0.135718732	-0.23893769	-0.080243919	-0.348273639	-0.215648783	-0.209898334	0.040287203	-0.211469787	-0.182234825	-0.23078849	-0.210970432	-0.068995377	-0.072628406	0.013117534	-0.187684282	-0.03536064	0.196605513	-3.31E-05	-0.078468617	-0.209822236	-0.110211226	0.012674036	-0.028550975
TFB2M	-0.569423491	-0.466853844	-0.532237468	-0.313117612	-0.52984245	-0.16094923	-0.699201924	-0.415594496	-0.240540941	-0.448054405	-0.350167018	-0.444265502	-0.501416847	-0.428882625	0.041483899	-0.47396417	-0.225796239	-0.512393446	-0.348831893	-0.650666809	-0.385293509	-0.392266464	-0.397144867	-0.60561579	-0.658407745	-0.402855066	0.00612734	-0.286380933	-0.281269743	-0.330414851	-0.214800888	-0.281817779	-0.492473216
TFCP2	0.102196578	0.237379186	0.094618601	0.311050826	-0.009866741	0.266005719	0.254477236	0.114684918	0.243701291	0.402040666	0.149424947	0.019679307	0.242366682	0.253449062	0.377180666	0.296612353	0.051004485	0.377702829	0.104327925	0.027818569	0.016717082	0.023080008	0.409852089	0.271863813	0.213488724	0.182038141	0.099343111	0.298312544	0.03491409	0.234992596	0.299590867	0.337261964	0.350076185
TFCP2L1	0.084947307	0.051870986	0.130147723	0.083301385	0.100861888	0.018858221	0.120806482	0.175126401	0.144217191	0.302463953	0.119993479	0.144876262	0.008062025	0.088373542	0.059172888	0.149190904	0.296793155	0.030393036	-0.013965636	0.064314354	0.17121369	0.038256287	0.087793126	0.021419255	0.154794222	0.028274702	0.09030644	0.080900753	0.11533051	0.196530391	0.014804433	0.091955168	0.022563187
TFDP1	-0.573562933	-0.255766193	-0.467331485	-0.512946643	-0.336118615	-0.126560252	-0.441838882	-0.355601641	-0.245184857	-0.433368494	-0.472616255	-0.591940047	-0.245323957	-0.294049647	-0.458209549	-0.407951464	-0.206048936	-0.184612558	-0.369260009	-0.475883825	-0.646318061	-0.588902095	-0.389997663	-0.716728257	-0.564899622	-0.274687197	-0.394441203	-0.059616012	-0.523283699	-0.137007671	-0.394543659	-0.132883527	-0.428250271
