Name	Type	Category
ASPC1_PANCREAS	Gene-Level	Gene Knock-Out Studies
AU565_BREAST	Gene-Level	Gene Knock-Out Studies
BC3C_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
BFTC905_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
BFTC909_KIDNEY	Gene-Level	Gene Knock-Out Studies
BHY_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
BICR22_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
BICR6_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
BT549_BREAST	Gene-Level	Gene Knock-Out Studies
C2BBE1_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
C32_SKIN	Gene-Level	Gene Knock-Out Studies
CAKI1_KIDNEY	Gene-Level	Gene Knock-Out Studies
CAKI2_KIDNEY	Gene-Level	Gene Knock-Out Studies
CAL27_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
CAL29_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
CAL51_BREAST	Gene-Level	Gene Knock-Out Studies
CAL78_BONE	Gene-Level	Gene Knock-Out Studies
CALU6_LUNG	Gene-Level	Gene Knock-Out Studies
CAMA1_BREAST	Gene-Level	Gene Knock-Out Studies
CAOV3_OVARY	Gene-Level	Gene Knock-Out Studies
CAS1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
CCK81_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
CFPAC1_PANCREAS	Gene-Level	Gene Knock-Out Studies
CHAGOK1_LUNG	Gene-Level	Gene Knock-Out Studies
CHP212_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
CJM_SKIN	Gene-Level	Gene Knock-Out Studies
CL40_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
COLO678_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
COLO679_SKIN	Gene-Level	Gene Knock-Out Studies
COLO792_SKIN	Gene-Level	Gene Knock-Out Studies
COLO800_SKIN	Gene-Level	Gene Knock-Out Studies
CORL279_LUNG	Gene-Level	Gene Knock-Out Studies
CORL47_LUNG	Gene-Level	Gene Knock-Out Studies
COV318_OVARY	Gene-Level	Gene Knock-Out Studies
COV362_OVARY	Gene-Level	Gene Knock-Out Studies
COV434_OVARY	Gene-Level	Gene Knock-Out Studies
COV504_OVARY	Gene-Level	Gene Knock-Out Studies
COV644_OVARY	Gene-Level	Gene Knock-Out Studies
D283MED_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
D341MED_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
DANG_PANCREAS	Gene-Level	Gene Knock-Out Studies
DAOY_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
DKMG_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
DLD1_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
DU4475_BREAST	Gene-Level	Gene Knock-Out Studies
EFM19_BREAST	Gene-Level	Gene Knock-Out Studies
EFO21_OVARY	Gene-Level	Gene Knock-Out Studies
EFO27_OVARY	Gene-Level	Gene Knock-Out Studies
EKVX_LUNG	Gene-Level	Gene Knock-Out Studies
EPLC272H_LUNG	Gene-Level	Gene Knock-Out Studies
ES2_OVARY	Gene-Level	Gene Knock-Out Studies
ESS1_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
F5_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
FADU_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
FU97_STOMACH	Gene-Level	Gene Knock-Out Studies
G292CLONEA141B1_BONE	Gene-Level	Gene Knock-Out Studies
G401_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
GAMG_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
GB1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
GCIY_STOMACH	Gene-Level	Gene Knock-Out Studies
GI1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
GSS_STOMACH	Gene-Level	Gene Knock-Out Studies
H4_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
