Column	Class	Category
T98G_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
TCCPAN2_PANCREAS	Gene knock-out studies	Gene-Based Metric
TCCSUP_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
TE1_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
TE5_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
TEN_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
TOV21G_OVARY	Gene knock-out studies	Gene-Based Metric
TUHR10TKB_KIDNEY	Gene knock-out studies	Gene-Based Metric
TUHR4TKB_KIDNEY	Gene knock-out studies	Gene-Based Metric
U118MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
U178_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
U251MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
U2OS_BONE	Gene knock-out studies	Gene-Based Metric
U343_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
U87MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
UACC257_SKIN	Gene knock-out studies	Gene-Based Metric
UACC62_SKIN	Gene knock-out studies	Gene-Based Metric
UMUC3_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
UOK101_KIDNEY	Gene knock-out studies	Gene-Based Metric
VMCUB1_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
WM115_SKIN	Gene knock-out studies	Gene-Based Metric
WM1799_SKIN	Gene knock-out studies	Gene-Based Metric
WM2664_SKIN	Gene knock-out studies	Gene-Based Metric
WM793_SKIN	Gene knock-out studies	Gene-Based Metric
WM983B_SKIN	Gene knock-out studies	Gene-Based Metric
YAPC_PANCREAS	Gene knock-out studies	Gene-Based Metric
YKG1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
ZR751_BREAST	Gene knock-out studies	Gene-Based Metric
Adipose_Subcutaneous	Gene expression	Gene-Based Metric
Adipose_Visceral_Omentum	Gene expression	Gene-Based Metric
Adrenal_Gland	Gene expression	Gene-Based Metric
Artery_Aorta	Gene expression	Gene-Based Metric
Artery_Coronary	Gene expression	Gene-Based Metric
Artery_Tibial	Gene expression	Gene-Based Metric
Bladder	Gene expression	Gene-Based Metric
Brain_Amygdala	Gene expression	Gene-Based Metric
Brain_Anterior_cingulate_cortex_BA24	Gene expression	Gene-Based Metric
Brain_Caudate_basal_ganglia	Gene expression	Gene-Based Metric
Brain_Cerebellar_Hemisphere	Gene expression	Gene-Based Metric
Brain_Cerebellum	Gene expression	Gene-Based Metric
Brain_Cortex	Gene expression	Gene-Based Metric
Brain_Frontal_Cortex_BA9	Gene expression	Gene-Based Metric
Brain_Hippocampus	Gene expression	Gene-Based Metric
Brain_Hypothalamus	Gene expression	Gene-Based Metric
Brain_Nucleus_accumbens_basal_ganglia	Gene expression	Gene-Based Metric
Brain_Putamen_basal_ganglia	Gene expression	Gene-Based Metric
Brain_Spinal_cord_cervical_c-1	Gene expression	Gene-Based Metric
Brain_Substantia_nigra	Gene expression	Gene-Based Metric
Breast_Mammary_Tissue	Gene expression	Gene-Based Metric
Cells_Cultured_fibroblasts	Gene expression	Gene-Based Metric
Cells_EBV-transformed_lymphocytes	Gene expression	Gene-Based Metric
Cervix_Ectocervix	Gene expression	Gene-Based Metric
Cervix_Endocervix	Gene expression	Gene-Based Metric
Colon_Sigmoid	Gene expression	Gene-Based Metric
Colon_Transverse	Gene expression	Gene-Based Metric
Colon_Transverse_Mixed_Cell	Gene expression	Gene-Based Metric
Colon_Transverse_Mucosa	Gene expression	Gene-Based Metric
Colon_Transverse_Muscularis	Gene expression	Gene-Based Metric
Esophagus_Gastroesophageal_Junction	Gene expression	Gene-Based Metric
Esophagus_Mucosa	Gene expression	Gene-Based Metric
Esophagus_Muscularis	Gene expression	Gene-Based Metric
Fallopian_Tube	Gene expression	Gene-Based Metric
Heart_Atrial_Appendage	Gene expression	Gene-Based Metric
Heart_Left_Ventricle	Gene expression	Gene-Based Metric
Kidney_Cortex	Gene expression	Gene-Based Metric
Kidney_Medulla	Gene expression	Gene-Based Metric
Liver	Gene expression	Gene-Based Metric
Liver_Hepatocyte	Gene expression	Gene-Based Metric
Liver_Mixed_Cell	Gene expression	Gene-Based Metric
Liver_Portal_Tract	Gene expression	Gene-Based Metric
Lung	Gene expression	Gene-Based Metric
Minor_Salivary_Gland	Gene expression	Gene-Based Metric
Muscle_Skeletal	Gene expression	Gene-Based Metric
Nerve_Tibial	Gene expression	Gene-Based Metric
Ovary	Gene expression	Gene-Based Metric
Pancreas	Gene expression	Gene-Based Metric
Pancreas_Acini	Gene expression	Gene-Based Metric
Pancreas_Islets	Gene expression	Gene-Based Metric
Pancreas_Mixed_Cell	Gene expression	Gene-Based Metric
Pituitary	Gene expression	Gene-Based Metric
Prostate	Gene expression	Gene-Based Metric
Skin_Not_Sun_Exposed_Suprapubic	Gene expression	Gene-Based Metric
Skin_Sun_Exposed_Lower_leg	Gene expression	Gene-Based Metric
Small_Intestine_Terminal_Ileum	Gene expression	Gene-Based Metric
Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Gene expression	Gene-Based Metric
Small_Intestine_Terminal_Ileum_Mixed_Cell	Gene expression	Gene-Based Metric
Spleen	Gene expression	Gene-Based Metric
Stomach	Gene expression	Gene-Based Metric
Stomach_Mixed_Cell	Gene expression	Gene-Based Metric
Stomach_Mucosa	Gene expression	Gene-Based Metric
Stomach_Muscularis	Gene expression	Gene-Based Metric
Testis	Gene expression	Gene-Based Metric
Thyroid	Gene expression	Gene-Based Metric
Uterus	Gene expression	Gene-Based Metric
Vagina	Gene expression	Gene-Based Metric
Whole_Blood	Gene expression	Gene-Based Metric
esm2_mean_log_likelihood_difference	Protein language model-derived	Residue-Based Metric
esm2_perplexity_difference	Protein language model-derived	Residue-Based Metric
cosine_similarity	Protein language model-derived	Residue-Based Metric
average_absolute_difference	Protein language model-derived	Residue-Based Metric
