Column	Class	Category
AGS_STOMACH	Gene knock-out studies	Gene-Based Metric
ASPC1_PANCREAS	Gene knock-out studies	Gene-Based Metric
AU565_BREAST	Gene knock-out studies	Gene-Based Metric
BC3C_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
BFTC905_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
BFTC909_KIDNEY	Gene knock-out studies	Gene-Based Metric
BHY_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
BICR22_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
BICR6_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
BT549_BREAST	Gene knock-out studies	Gene-Based Metric
C2BBE1_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
C32_SKIN	Gene knock-out studies	Gene-Based Metric
CAKI1_KIDNEY	Gene knock-out studies	Gene-Based Metric
CAKI2_KIDNEY	Gene knock-out studies	Gene-Based Metric
CAL27_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
CAL29_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
CAL51_BREAST	Gene knock-out studies	Gene-Based Metric
CAL78_BONE	Gene knock-out studies	Gene-Based Metric
CALU6_LUNG	Gene knock-out studies	Gene-Based Metric
CAMA1_BREAST	Gene knock-out studies	Gene-Based Metric
CAOV3_OVARY	Gene knock-out studies	Gene-Based Metric
CAS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
CCK81_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
CFPAC1_PANCREAS	Gene knock-out studies	Gene-Based Metric
CHAGOK1_LUNG	Gene knock-out studies	Gene-Based Metric
CHP212_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
CJM_SKIN	Gene knock-out studies	Gene-Based Metric
CL40_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
COLO678_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
COLO679_SKIN	Gene knock-out studies	Gene-Based Metric
COLO792_SKIN	Gene knock-out studies	Gene-Based Metric
COLO800_SKIN	Gene knock-out studies	Gene-Based Metric
CORL279_LUNG	Gene knock-out studies	Gene-Based Metric
CORL47_LUNG	Gene knock-out studies	Gene-Based Metric
COV318_OVARY	Gene knock-out studies	Gene-Based Metric
COV362_OVARY	Gene knock-out studies	Gene-Based Metric
COV434_OVARY	Gene knock-out studies	Gene-Based Metric
COV504_OVARY	Gene knock-out studies	Gene-Based Metric
COV644_OVARY	Gene knock-out studies	Gene-Based Metric
D283MED_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
D341MED_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
DANG_PANCREAS	Gene knock-out studies	Gene-Based Metric
DAOY_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
DKMG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
DLD1_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
DU4475_BREAST	Gene knock-out studies	Gene-Based Metric
EFM19_BREAST	Gene knock-out studies	Gene-Based Metric
EFO21_OVARY	Gene knock-out studies	Gene-Based Metric
